Customer_ID,Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Signup_Quarter,Churned
CUST-000045,28.0,Female,Philippines,Cebu,2.6,31.9,22.1,12.4,69.43,2,5,117.18,14,21.92,11.78,6.18,2,3,72.52,10.2,3,644.95,31.48,2024-Q4,0
CUST-000046,50.0,Female,Philippines,Cebu,3.0,8.4,13.3,4.73,31.78,8,10,129.33,31,23.75,5.87,28.96,0,4,51.3,0.7,3,1359.2,10.67,2025-Q1,0
CUST-000047,34.0,Female,Indonesia,Medan,3.9,27.1,26.6,6.93,29.44,6,6,65.66,39,67.26,13.69,43.14,1,1,47.65,7.0,3,457.46,25.57,2025-Q1,0
CUST-000048,46.0,Male,Indonesia,Bandung,2.7,15.1,18.7,5.14,37.55,8,4,139.11,24,54.0,9.83,80.14,2,0,52.12,9.1,6,664.99,25.85,2025-Q1,0
CUST-000049,26.0,Female,Malaysia,Johor Bahru,8.7,28.2,15.7,1.06,63.85,5,5,26.29,138,68.63,33.78,61.64,0,1,57.5,0.0,6,135.11,7.72,2024-Q4,0
CUST-000050,41.0,Male,Indonesia,Surabaya,1.0,15.3,19.5,5.77,41.17,4,14,82.46,110,36.65,12.34,32.96,3,0,61.68,3.0,5,1241.89,22.51,2024-Q1,1
CUST-000051,31.0,Female,Indonesia,Medan,1.9,21.3,23.2,1.01,42.19,5,5,148.87,28,52.8,10.93,79.01,1,3,28.17,0.0,2,801.53,26.66,2024-Q1,0
CUST-000052,51.0,Female,Indonesia,Bandung,1.5,16.7,19.4,4.7,50.73,5,6,201.48,16,78.37,10.43,9.32,1,0,86.24,6.3,5,1331.35,88.2,2025-Q2,0
CUST-000053,39.0,Male,Philippines,Cebu,2.1,4.2,13.5,2.33,20.41,7,8,113.22,60,67.8,6.94,39.45,1,1,43.17,4.9,2,916.76,15.49,2024-Q3,0
CUST-000054,44.0,Male,Malaysia,Kuala Lumpur,3.3,31.9,10.0,7.1,44.73,9,5,174.21,38,26.54,8.59,73.64,1,2,96.16,8.8,6,1018.06,4.54,2024-Q3,0
CUST-000055,15.0,Female,Malaysia,Penang,3.1,10.5,7.3,4.05,25.44,4,8,87.37,67,18.14,13.28,63.57,1,1,78.2,5.3,2,780.77,3.16,2024-Q4,0
CUST-000056,33.0,Female,Philippines,Manila,3.8,18.7,1.0,1.54,67.43,5,8,127.94,84,70.01,15.49,22.44,1,1,46.59,4.6,3,1148.37,46.94,2024-Q1,0
CUST-000057,39.0,Female,Singapore,Singapore,2.8,9.6,15.0,8.16,46.37,7,8,133.26,11,71.32,17.41,82.87,0,1,25.47,8.9,1,1149.63,11.47,2024-Q4,0
CUST-000058,36.0,Female,Singapore,Singapore,3.0,7.3,11.7,4.49,51.85,2,9,24.56,36,36.65,10.47,62.94,1,3,63.0,8.2,2,335.14,21.38,2025-Q2,0
CUST-000059,45.0,Female,Indonesia,Surabaya,2.9,16.4,12.0,4.92,0.0,1,9,138.33,24,22.7,11.15,67.14,0,3,64.7,7.6,3,1334.8,21.7,2024-Q3,0
CUST-000060,30.0,Female,Indonesia,Medan,2.0,13.3,20.2,3.56,52.13,11,9,96.08,130,54.95,37.14,82.81,0,3,0.0,5.2,2,904.06,15.9,2025-Q1,0
CUST-000061,35.0,Male,Malaysia,Penang,1.8,8.6,13.3,8.87,34.45,5,10,101.58,21,27.13,17.44,38.1,0,3,32.94,3.6,1,1132.58,177.4,2024-Q2,0
CUST-000062,47.0,Male,Singapore,Singapore,1.5,17.7,25.4,6.68,9.26,6,6,147.33,26,57.47,8.34,31.1,2,2,30.91,9.9,3,996.67,55.1,2024-Q3,0
CUST-000063,15.0,Female,Singapore,Singapore,3.9,6.1,10.6,4.47,39.9,4,3,67.1,66,7.98,8.3,45.47,3,2,0.0,3.7,4,259.72,67.02,2025-Q2,0
CUST-000064,40.0,Female,Philippines,Cebu,0.4,19.0,8.2,1.21,7.63,4,2,91.32,26,31.8,6.23,43.91,2,2,46.5,7.2,2,315.89,19.47,2024-Q4,0
CUST-000065,30.0,Male,Malaysia,Kuala Lumpur,2.9,17.0,6.5,12.28,50.22,5,14,93.56,15,21.09,2.82,67.59,2,4,47.48,0.2,2,1406.15,5.94,2024-Q3,0
CUST-000066,24.0,Female,Singapore,Singapore,4.4,0.0,18.3,10.95,66.68,6,9,111.33,112,70.58,13.69,24.17,0,1,23.85,5.1,2,1093.2,40.3,2024-Q1,0
CUST-000067,38.0,Male,Singapore,Singapore,5.2,13.8,20.9,9.61,2.19,4,13,27.58,44,32.47,28.24,13.63,1,3,56.34,5.3,4,446.51,15.32,2025-Q1,0
CUST-000068,48.0,Female,Indonesia,Surabaya,0.3,21.7,10.4,4.24,37.4,3,8,130.15,21,23.74,18.5,73.1,1,5,1.56,2.0,6,1108.09,25.09,2025-Q2,0
CUST-000069,45.0,Male,Indonesia,Surabaya,2.0,9.5,7.6,4.75,34.7,10,8,133.05,14,49.34,36.47,39.76,1,1,66.1,5.8,1,1205.58,66.48,2024-Q1,1
CUST-000070,33.0,Female,Indonesia,Surabaya,1.5,22.1,23.2,7.0,0.0,4,5,43.92,20,43.52,9.78,74.93,0,2,68.03,6.2,4,327.16,19.0,2025-Q1,0
CUST-000071,44.0,Male,Indonesia,Jakarta,1.9,21.5,5.3,3.77,56.33,7,12,59.91,24,30.74,8.6,15.27,3,1,0.91,6.0,2,759.91,5.93,2024-Q4,0
CUST-000072,44.0,Male,Indonesia,Jakarta,5.8,9.9,20.1,3.53,50.51,5,6,167.99,36,24.02,6.87,93.25,0,1,53.81,2.4,3,1029.86,20.04,2025-Q1,0
CUST-000073,33.0,Female,Philippines,Manila,1.5,17.9,10.6,9.65,78.52,2,13,52.53,84,34.36,3.91,56.91,1,1,28.12,5.9,2,685.05,45.94,2024-Q4,0
CUST-000074,26.0,Female,Indonesia,Medan,4.4,24.6,16.4,5.86,47.92,4,8,204.19,55,46.45,22.39,44.86,1,4,57.7,8.4,1,1682.53,13.69,2024-Q3,0
CUST-000075,27.0,Male,Indonesia,Medan,2.9,11.0,20.5,3.2,20.42,4,6,53.94,83,36.5,36.86,77.88,1,2,52.58,0.0,2,389.16,22.19,2024-Q4,0
CUST-000076,43.0,Male,Indonesia,Jakarta,1.8,16.4,16.9,8.38,48.29,7,6,153.7,60,27.76,9.52,71.01,1,1,77.1,6.9,4,1000.29,14.47,2024-Q3,0
CUST-000077,34.0,Female,Indonesia,Jakarta,1.7,27.2,12.2,4.57,63.7,4,8,52.99,49,7.63,4.04,69.31,0,1,30.56,5.5,4,487.77,25.34,2024-Q2,0
CUST-000078,22.0,Male,Malaysia,Johor Bahru,3.2,11.1,22.4,1.05,28.7,5,7,141.98,15,33.46,5.62,27.7,2,5,7.37,3.0,4,1011.0,29.98,2024-Q4,0
CUST-000079,15.0,Female,Singapore,Singapore,2.5,21.7,15.7,3.16,55.05,5,4,102.04,72,59.42,11.22,50.91,0,3,42.44,2.6,2,512.23,21.72,2024-Q4,0
CUST-000080,43.0,Male,Philippines,Cebu,0.6,9.4,36.1,4.71,0.0,5,6,102.82,20,23.45,20.0,61.77,4,2,85.35,12.7,1,645.92,66.32,2025-Q2,0
CUST-000081,28.0,Female,Malaysia,Kuala Lumpur,1.3,16.7,3.8,6.55,67.5,1,10,51.01,74,39.82,42.12,33.02,2,1,68.67,5.3,3,517.52,2.41,2024-Q4,1
CUST-000082,38.0,Male,Indonesia,Surabaya,3.2,21.6,3.7,6.43,54.01,6,8,89.65,115,5.03,61.72,55.08,1,4,25.86,7.5,4,780.07,35.31,2024-Q3,0
CUST-000083,48.0,Female,Philippines,Manila,1.0,0.0,20.0,9.07,0.0,2,7,58.54,56,40.52,0.51,44.36,1,3,19.78,5.3,3,466.4,16.49,2025-Q2,0
CUST-000084,20.0,Female,Indonesia,Jakarta,4.8,13.7,13.8,5.41,45.65,4,6,55.32,27,33.72,19.43,38.0,1,2,73.93,5.7,4,386.48,129.72,2024-Q4,0
CUST-000085,34.0,Other,Indonesia,Bandung,0.8,21.4,18.8,4.84,0.0,5,9,185.91,10,53.76,7.85,82.36,0,0,68.69,7.9,2,1764.94,330.42,2024-Q1,0
CUST-000086,32.0,Male,Indonesia,Medan,2.2,19.8,7.4,9.11,25.78,5,8,434.62,62,60.25,2.03,30.39,3,3,65.25,8.8,1,3603.84,15.45,2024-Q4,0
CUST-000087,38.0,Female,Malaysia,Johor Bahru,4.0,13.8,14.3,8.45,51.58,6,7,59.06,42,32.67,13.15,24.95,0,2,43.39,8.2,2,453.39,23.09,2025-Q1,0
CUST-000088,48.0,Male,Singapore,Singapore,1.2,9.2,16.7,5.47,35.28,4,8,113.69,10,58.63,7.65,27.01,2,4,38.78,0.0,3,1002.85,13.97,2025-Q1,0
CUST-000089,19.0,Female,Indonesia,Jakarta,0.9,23.0,10.7,6.73,63.13,3,2,151.27,46,37.97,16.41,71.84,0,2,42.49,7.3,2,318.06,14.67,2024-Q1,0
CUST-000090,40.0,Female,Singapore,Singapore,3.6,15.4,15.4,4.81,39.27,5,10,63.65,152,15.93,25.44,40.67,1,0,28.82,1.9,3,681.03,11.36,2024-Q4,1
CUST-000091,45.0,Male,Indonesia,Surabaya,4.5,22.4,5.8,3.09,37.25,4,12,55.34,21,50.52,20.82,22.59,0,1,61.28,2.2,4,751.02,68.12,2025-Q2,0
CUST-000092,32.0,Female,Malaysia,Johor Bahru,2.3,21.0,16.4,11.49,59.97,3,13,90.03,17,30.27,43.82,44.16,4,2,79.56,9.0,3,1241.22,31.86,2024-Q3,0
CUST-000093,32.0,Male,Indonesia,Medan,2.0,14.4,22.7,4.65,31.25,4,4,90.87,78,11.15,1.34,48.9,0,2,52.12,5.3,2,336.86,14.24,2024-Q4,0
CUST-000094,39.0,Female,Indonesia,Medan,0.7,26.6,6.6,6.74,37.5,5,3,22.45,44,46.45,14.09,42.67,1,3,60.79,0.7,4,150.1,6.41,2024-Q4,0
CUST-000095,38.0,Female,Indonesia,Jakarta,2.8,13.2,6.2,2.21,40.13,6,13,103.6,18,52.63,5.27,61.8,1,0,62.92,5.8,1,1419.35,31.57,2025-Q1,0
CUST-000096,40.0,Male,Malaysia,Kuala Lumpur,0.5,27.5,21.1,7.84,36.65,5,7,140.15,20,20.58,11.31,89.25,4,2,68.71,7.5,3,1008.72,22.64,2025-Q1,0
CUST-000097,40.0,Female,Indonesia,Jakarta,5.9,28.6,6.1,2.99,61.2,7,6,117.99,50,36.08,15.0,18.5,0,1,42.67,8.5,5,758.61,18.15,2025-Q1,0
CUST-000098,23.0,Female,Indonesia,Jakarta,2.4,26.4,19.0,10.19,24.66,5,6,77.99,14,25.88,22.6,52.16,4,1,56.27,2.1,5,550.73,31.26,2025-Q2,0
CUST-000099,45.0,Male,Indonesia,Jakarta,1.3,16.6,14.3,10.49,21.39,9,7,40.46,55,38.7,18.74,22.99,4,4,91.31,2.1,4,337.53,91.25,2025-Q1,0
CUST-000100,47.0,Female,Thailand,Bangkok,1.7,38.4,11.5,7.41,16.77,6,8,115.84,6,60.82,16.81,91.37,1,3,14.97,13.0,6,979.24,10.16,2024-Q3,0
CUST-000101,36.0,Female,Thailand,Chiang Mai,2.9,19.2,22.8,6.29,0.0,5,5,58.82,50,66.4,33.09,36.77,2,3,50.77,0.0,4,377.15,23.44,2024-Q1,0
CUST-000102,18.0,Female,Malaysia,Penang,1.9,19.9,19.6,5.53,67.67,10,8,75.62,46,36.64,5.69,31.57,1,2,71.42,9.1,4,666.13,20.89,2025-Q2,0
CUST-000103,33.0,Female,Indonesia,Bandung,2.6,17.8,15.7,5.88,19.98,4,12,90.35,148,32.18,4.34,50.55,2,4,22.12,3.8,4,1117.25,30.28,2025-Q1,0
CUST-000104,36.0,Female,Thailand,Bangkok,1.2,9.0,1.1,7.02,33.23,8,9,140.05,25,46.9,19.42,42.53,1,0,36.81,2.5,4,1357.46,49.99,2024-Q3,0
CUST-000105,21.0,Male,Philippines,Manila,5.2,28.4,18.3,6.22,69.16,5,9,159.39,41,59.52,14.33,43.06,0,2,92.64,4.0,3,1488.5,261.3,2024-Q1,0
CUST-000106,30.0,Male,Malaysia,Johor Bahru,1.7,13.4,7.6,8.45,35.16,10,9,100.95,13,12.58,15.37,67.43,1,1,61.06,4.5,3,945.02,78.12,2024-Q2,0
CUST-000107,18.0,Female,Indonesia,Surabaya,0.4,25.4,12.7,3.7,48.29,3,8,91.61,51,66.37,12.64,63.14,3,5,49.72,3.6,3,840.83,13.71,2025-Q2,0
CUST-000108,41.0,Male,Indonesia,Jakarta,2.0,27.3,14.0,9.82,9.59,2,6,137.24,124,10.13,7.91,54.08,0,3,61.3,4.1,4,913.58,4.08,2024-Q1,0
CUST-000109,36.0,Male,Indonesia,Medan,1.5,22.8,25.4,4.94,65.97,6,3,55.54,29,23.46,14.99,60.04,0,0,29.94,5.0,2,226.09,4.84,2024-Q2,0
CUST-000110,16.0,Male,Thailand,Phuket,5.0,12.5,12.5,4.14,35.57,5,9,61.76,28,26.38,7.33,34.72,1,1,75.06,4.1,6,624.14,11.07,2024-Q4,0
CUST-000111,38.0,Female,Singapore,Singapore,1.3,15.3,5.5,6.91,17.63,5,13,200.89,42,34.62,9.5,57.44,1,1,65.35,8.7,3,2656.81,36.96,2025-Q2,0
CUST-000112,33.0,Female,Indonesia,Medan,1.9,0.0,22.8,7.07,17.62,9,5,201.61,23,33.25,18.0,40.7,0,1,47.48,4.6,4,1102.86,41.55,2025-Q2,0
CUST-000113,40.0,Male,Indonesia,Jakarta,3.0,17.1,18.4,1.66,71.8,11,11,34.1,58,31.89,5.97,70.73,2,1,43.76,4.8,2,453.02,53.09,2024-Q1,0
CUST-000114,30.0,Female,Malaysia,Penang,3.8,24.4,18.6,4.8,26.28,14,5,68.4,16,50.86,30.18,95.74,0,2,70.97,0.7,2,345.0,13.59,2024-Q3,0
CUST-000115,25.0,Female,Indonesia,Medan,6.1,16.1,22.9,1.0,18.07,5,12,149.87,55,25.38,8.51,46.09,2,1,58.08,12.3,2,1870.47,7.36,2024-Q2,0
CUST-000116,26.0,Female,Philippines,Davao,1.4,13.3,24.3,4.31,29.34,5,8,110.98,8,21.29,16.28,58.45,1,2,89.23,4.0,5,954.64,19.97,2024-Q3,0
CUST-000117,28.0,Male,Philippines,Manila,5.7,15.6,8.6,4.42,38.91,3,5,82.93,26,19.74,1.41,32.63,1,1,42.86,6.8,2,504.45,10.16,2025-Q1,1
CUST-000118,34.0,Male,Malaysia,Johor Bahru,4.9,27.7,5.7,6.74,41.04,7,6,46.22,23,30.09,2.48,56.65,0,8,71.19,2.2,1,333.14,23.68,2024-Q3,0
CUST-000119,36.0,Female,Indonesia,Bandung,1.5,17.6,19.1,4.03,46.89,5,9,67.96,36,3.9,29.17,93.32,0,2,34.9,1.1,3,682.91,21.33,2024-Q3,0
CUST-000120,32.0,Female,Malaysia,Penang,1.4,32.9,12.4,4.62,42.7,1,8,56.59,48,15.62,22.24,35.5,1,4,36.94,0.4,5,486.18,38.54,2025-Q2,0
CUST-000121,29.0,Male,Malaysia,Penang,3.4,13.4,13.0,9.26,50.94,5,8,190.34,63,32.33,3.87,78.2,0,2,46.37,3.1,4,1605.84,8.52,2024-Q1,0
CUST-000122,30.0,Female,Malaysia,Johor Bahru,2.6,19.7,7.3,11.16,32.55,9,5,59.33,31,45.49,31.69,72.67,1,1,100.0,6.6,3,363.92,16.61,2024-Q3,0
CUST-000123,62.0,Male,Indonesia,Jakarta,3.4,14.5,17.5,3.7,79.44,5,9,96.61,30,37.58,51.02,38.03,1,0,22.19,6.6,4,1004.57,11.92,2024-Q4,0
CUST-000124,26.0,Female,Indonesia,Surabaya,2.1,34.6,16.4,8.55,28.23,6,7,113.33,56,14.78,6.54,88.23,0,3,26.87,7.5,2,852.4,136.05,2024-Q2,0
CUST-000125,28.0,Male,Indonesia,Medan,2.7,19.4,13.1,6.97,65.05,3,6,84.79,31,10.9,7.1,92.74,0,2,56.76,6.2,2,631.1,19.09,2024-Q4,0
CUST-000126,70.0,Female,Singapore,Singapore,2.4,35.0,5.7,1.65,26.02,2,9,88.04,21,52.22,0.37,47.58,1,2,98.82,4.8,3,810.28,18.55,2024-Q1,0
CUST-000127,39.0,Female,Indonesia,Surabaya,3.4,14.6,21.3,4.02,9.44,3,8,44.59,60,28.99,31.44,77.59,0,1,58.07,6.4,5,431.54,26.25,2024-Q2,0
CUST-000128,19.0,Male,Indonesia,Bandung,1.3,30.2,15.5,1.0,4.66,9,7,72.73,67,42.66,8.33,48.44,0,2,41.03,6.1,4,579.66,21.57,2024-Q4,0
CUST-000129,43.0,Male,Indonesia,Jakarta,2.9,18.9,20.7,6.81,44.08,3,5,75.32,71,42.36,2.55,38.54,3,2,43.21,0.0,8,410.69,40.4,2024-Q4,1
CUST-000130,24.0,Female,Malaysia,Penang,6.0,24.7,1.4,3.31,61.24,4,8,64.56,40,31.87,1.66,29.74,0,1,66.67,4.9,3,608.11,23.07,2024-Q3,0
CUST-000131,44.0,Female,Indonesia,Surabaya,5.8,8.2,14.3,6.33,14.98,7,4,193.24,138,30.02,7.63,52.43,0,1,25.92,8.2,2,887.87,18.09,2025-Q2,0
CUST-000132,32.0,Female,Thailand,Chiang Mai,3.1,20.8,9.7,12.43,20.45,4,5,258.68,18,53.0,1.87,13.97,2,2,100.0,6.9,1,1382.48,19.7,2024-Q4,0
CUST-000133,29.0,Male,Malaysia,Johor Bahru,1.3,9.4,14.2,9.98,45.72,7,6,154.74,31,30.23,23.85,51.43,1,2,6.86,0.0,3,943.63,27.38,2024-Q2,0
CUST-000134,52.0,Female,Indonesia,Surabaya,7.9,20.1,19.7,4.08,37.95,4,7,206.91,32,65.8,11.89,34.39,1,1,34.48,4.6,2,1545.09,177.08,2025-Q2,0
CUST-000135,40.0,Other,Malaysia,Penang,3.4,5.9,16.2,3.48,26.29,8,9,63.61,61,7.4,58.53,69.1,1,1,78.15,9.1,2,692.61,67.12,2025-Q2,0
CUST-000136,45.0,Male,Indonesia,Jakarta,7.4,17.2,14.1,9.23,12.41,2,5,80.11,3,22.9,22.75,15.29,1,2,56.09,5.2,3,482.38,7.29,2024-Q1,0
CUST-000137,39.0,Male,Thailand,Chiang Mai,3.5,26.8,14.1,3.49,44.18,4,11,56.09,13,21.37,26.04,68.65,1,2,50.45,4.2,2,736.28,27.92,2025-Q1,1
